"gender","age","education","income","fin_status","region","settlement_type","pol_interest","voted_binary","evote_awareness","evote_knowledge","evote_definition_correct","digital_skills_index","digital_trust_index","deliberation_index","civic_duty_index","electoral_responsibility_index","perc_accessibility","perc_security","perc_transparency","perc_anonymity","institutional_trust_index","electoral_integrity_index","evote_willingness","disinfo_personal_impact"
"Жіноча","25-34 роки","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4,3.6,3.8,5,4,4.5,4,3,3.25,"Так",NA
"Жіноча","18-24 роки","Магістр","Від 801 до 1 мільйонна гривень","Можемо купувати дорогі речі","Південь України (Миколаївська, Одеська, Херсонська обл.)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",NA,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4.8,NA,NA,NA,5,3.5,5,3,4,4.25,"Так",NA
"Жіноча","25-34 роки","Бакалавр","Від 601 до 800 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4.2,4.2,4.2,5,3.75,4.5,5,3.2,2.5,"Так",NA
"Жіноча","25-34 роки","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,5,3.8,4.2,4,4.66666666666667,3.5,4.5,4,3,3.25,"Так",NA
"Чоловіча","18-24 роки","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",NA,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4.6,NA,NA,NA,4.66666666666667,4,4,3,2.2,3,"Так",NA
"Чоловіча","25-34 роки","Магістр","Понад 1 мільйон гривень","Можемо купувати дорогі речі","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,3.6,3.4,4.4,3.9,4,1.75,3.5,4,1.6,3.75,"Не знаю / залежить від умов",NA
"Чоловіча","25-34 роки","Магістр","Від 801 до 1 мільйонна гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, добре знайомий/а з темою",3,1,2.75,4,4.5,4.8,4.65,4,2,4,3,2.8,3.75,"Скоріше ні",NA
"Чоловіча","18-24 роки","Бакалавр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",NA,"Так, добре знайомий/а з темою",3,1,5,4.4,NA,NA,NA,3.33333333333333,2,3.5,3,2.8,4.5,"Скоріше так",NA
"Чоловіча","25-34 роки","Магістр","Від 801 до 1 мільйонна гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4,4.8,5,4.9,4.66666666666667,2.75,4,2,3.4,4,"Так",NA
"Жіноча","25-34 роки","Магістр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,4.8,4.5,4,4.25,3.66666666666667,2.25,5,3,2,3,"Скоріше так",NA
